code,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_true,support_pred
F : Mentioned with specification,1,3,5,59,0.2499999999999375,0.16666666666663887,0.9516129032257911,0.19999999999948,0.8823529411764577,0.559139784946215,6,4
C9_Regulatory_Mandatory_infrastructure,2,30,1,35,0.06249999999999804,0.6666666666664445,0.5384615384615302,0.11428571428555102,0.5441176470588156,0.6025641025639874,3,32
AB : Not mentioned,1,1,20,46,0.49999999999975,0.047619047619045354,0.9787234042552982,0.0869565217389641,0.6911764705882252,0.5131712259371718,21,2
AJ : Sustainable production,1,63,0,4,0.015624999999999757,0.9999999999989999,0.059701492537312544,0.030769230769199525,0.0735294117647048,0.5298507462681562,1,64
S : Not relevant,0,0,0,68,0.0,0.0,0.9999999999999853,0.0,0.9999999999999853,0.4999999999999927,0,0
Y : Non relevant,0,0,0,68,0.0,0.0,0.9999999999999853,0.0,0.9999999999999853,0.4999999999999927,0,0
AD : C7 Objectives - other objectives,0,0,0,68,0.0,0.0,0.9999999999999853,0.0,0.9999999999999853,0.4999999999999927,0,0
C9_Regulatory_Judicial_measure,0,0,0,68,0.0,0.0,0.9999999999999853,0.0,0.9999999999999853,0.4999999999999927,0,0
C9_Regulatory_Legal_recognition,0,0,6,62,0.0,0.0,0.9999999999999838,0.0,0.9117647058823396,0.4999999999999919,6,0
Q : Not mentioned,0,0,9,59,0.0,0.0,0.999999999999983,0.0,0.8676470588235167,0.4999999999999915,9,0
D : Not mentioned,0,0,20,48,0.0,0.0,0.9999999999999791,0.0,0.7058823529411662,0.49999999999998956,20,0
AF : Climate change,0,1,0,67,0.0,0.0,0.9852941176470444,0.0,0.9852941176470444,0.4926470588235222,0,1
AC : Partial mention,0,1,7,60,0.0,0.0,0.9836065573770331,0.0,0.8823529411764577,0.49180327868851653,7,1
AG : ESM,0,4,0,64,0.0,0.0,0.9411764705882215,0.0,0.9411764705882215,0.47058823529411076,0,4
X : Low,0,11,0,57,0.0,0.0,0.8382352941176348,0.0,0.8382352941176348,0.4191176470588174,0,11
AI : Not mentioned,0,17,0,51,0.0,0.0,0.749999999999989,0.0,0.749999999999989,0.3749999999999945,0,17
T : Not specified,0,24,0,44,0.0,0.0,0.6470588235294022,0.0,0.6470588235294022,0.3235294117647011,0,24
U : Specified,0,44,0,24,0.0,0.0,0.3529411764705831,0.0,0.3529411764705831,0.17647058823529155,0,44
AE : Circular economy,0,51,0,17,0.0,0.0,0.24999999999999634,0.0,0.24999999999999634,0.12499999999999817,0,51
W : High,0,56,0,12,0.0,0.0,0.17647058823529155,0.0,0.17647058823529155,0.08823529411764577,0,56
AK : C8 Value chain,0,67,0,1,0.0,0.0,0.014705882352940961,0.0,0.014705882352940961,0.007352941176470481,0,67
R : C10 Time horizon of implementation,0,68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,68
V : C11 Stringency of measure,0,68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,68
